n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
1,circul,65536,256,256,256,256.99999999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.0003465,4.098309383132228e-17
1,circul,65536,256,256,256,256.99999999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,7.7167e-5,0.001800875,5.302392673148076e-16
1,circul,65536,256,256,256,256.99999999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,0.0033765,5.154545956787458e-16
1,companion,256,16,16,16,1496.9993319970483,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,5.041e-6,1.1579480385681508e-18
1,companion,256,16,16,16,1496.9993319970483,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,2.25e-6,1.9834e-5,2.1035380360617355e-18
1,companion,256,16,16,16,1496.9993319970483,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,7.416e-6,2.9877289046528645e-18
1,companion,256,16,16,16,1496.9993319970483,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.0,4.8417e-5,9.7324055445028e-19
1,companion,65536,256,256,256,5.625217000001259e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.0003465,2.17020382410536e-20
1,companion,65536,256,256,256,5.625217000001259e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,3.8917e-5,3.3833e-5,3.4594209760167316e-20
1,companion,65536,256,256,256,5.625217000001259e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,1.6042e-5,3.1754689018550435e-20
1,companion,65536,256,256,256,5.625217000001259e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.0,4.4709e-5,1.732413577231628e-20
1,deriv2,256,16,16,16,310.26060675945143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,5.125e-6,1.7775238017421747e-17
1,deriv2,256,16,16,16,310.26060675945143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,3.042e-6,4.8125e-5,2.3433915636186273e-17
1,deriv2,256,16,16,16,310.26060675945143,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,1.6292e-5,1.7388963475907298e-17
1,deriv2,65536,256,256,256,79681.22110174366,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,0.000398792,1.0708546112222952e-17
1,deriv2,65536,256,256,256,79681.22110174366,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,8.25e-5,0.001820667,7.456184142145477e-18
